synthetic_learner_id,study_hours_week,practice_tests,attendance_rate,prior_score,ready_for_assessment
SYN-LRN-0044,7.1,7,0.986,53.1,0
SYN-LRN-0045,4.7,8,0.848,60.1,0
SYN-LRN-0046,15.6,9,0.938,71.8,1
SYN-LRN-0047,3.0,4,0.759,75.7,0
SYN-LRN-0048,8.9,7,0.876,70.8,1
SYN-LRN-0049,10.2,7,0.836,90.0,1
SYN-LRN-0050,11.5,2,0.857,69.4,0
SYN-LRN-0051,9.0,5,0.767,82.1,0
SYN-LRN-0052,9.2,0,0.86,59.4,1
SYN-LRN-0053,0.5,11,0.984,65.3,0
SYN-LRN-0054,7.3,6,0.806,76.4,1
SYN-LRN-0055,7.6,4,0.739,69.5,0
SYN-LRN-0056,8.3,2,0.973,66.2,0
SYN-LRN-0057,8.5,6,0.875,89.5,0
SYN-LRN-0058,4.8,9,0.797,67.6,0
SYN-LRN-0059,4.3,6,0.829,56.1,0
SYN-LRN-0060,9.0,1,1.0,62.3,1
SYN-LRN-0061,14.2,6,0.865,79.7,1
SYN-LRN-0062,8.1,7,0.894,49.7,0
SYN-LRN-0063,7.0,6,0.877,66.8,1
SYN-LRN-0064,11.2,6,0.845,52.8,1
SYN-LRN-0065,8.1,3,0.776,90.5,0
SYN-LRN-0066,9.1,5,0.737,69.4,1
SYN-LRN-0067,7.3,4,0.897,86.9,1
SYN-LRN-0068,6.4,5,0.877,54.0,1
SYN-LRN-0069,16.5,9,0.792,67.2,1
SYN-LRN-0070,1.3,2,0.727,51.1,0
SYN-LRN-0071,6.8,5,0.825,73.6,1
SYN-LRN-0072,11.8,9,0.895,86.1,1
SYN-LRN-0073,8.1,2,1.0,77.2,1
SYN-LRN-0074,7.1,6,0.805,71.1,1
SYN-LRN-0075,11.0,7,0.772,63.1,1
SYN-LRN-0076,6.6,6,0.872,68.1,1
SYN-LRN-0077,5.9,6,0.814,59.8,1
SYN-LRN-0078,6.2,6,0.892,75.7,0
SYN-LRN-0079,9.2,5,0.954,52.3,1
SYN-LRN-0080,10.3,6,0.768,77.2,1
SYN-LRN-0081,9.5,3,0.812,90.3,1
SYN-LRN-0082,10.5,8,0.741,80.3,1
SYN-LRN-0083,3.9,2,0.921,68.8,0
SYN-LRN-0084,4.8,4,0.987,72.6,0
SYN-LRN-0085,14.8,6,0.682,46.4,1
SYN-LRN-0086,6.7,9,0.771,62.1,1
SYN-LRN-0087,12.4,5,0.893,82.6,1
SYN-LRN-0088,13.7,7,0.919,63.5,1
SYN-LRN-0089,11.7,0,0.588,57.6,0
SYN-LRN-0090,9.8,5,0.794,78.8,1
SYN-LRN-0091,3.9,2,0.66,70.9,0
SYN-LRN-0092,7.8,5,0.829,73.5,1
SYN-LRN-0093,10.2,4,0.769,86.0,0
SYN-LRN-0094,13.1,7,0.818,59.3,1
SYN-LRN-0095,6.7,9,0.967,75.3,1
SYN-LRN-0096,6.8,7,0.871,50.6,0
SYN-LRN-0097,12.8,7,0.808,73.9,0
SYN-LRN-0098,10.7,2,0.94,57.7,0
SYN-LRN-0099,4.9,4,0.898,71.6,0
SYN-LRN-0100,2.8,5,0.867,84.8,1
SYN-LRN-0101,7.9,3,0.841,87.0,1
SYN-LRN-0102,6.2,7,0.978,68.8,1
SYN-LRN-0103,11.2,5,0.949,79.8,1
SYN-LRN-0104,5.4,3,0.93,64.0,1
SYN-LRN-0105,12.0,6,0.937,50.7,1
SYN-LRN-0106,11.5,8,0.849,95.2,1
SYN-LRN-0107,8.0,6,0.721,61.3,0
SYN-LRN-0108,5.4,8,0.894,50.3,0
SYN-LRN-0109,3.9,5,0.989,64.6,0
SYN-LRN-0110,3.5,3,0.747,55.8,0
SYN-LRN-0111,4.3,0,0.91,49.8,0
SYN-LRN-0112,8.2,5,0.869,81.1,1
SYN-LRN-0113,7.6,3,0.825,67.3,0
SYN-LRN-0114,3.6,5,0.907,66.1,1
SYN-LRN-0115,8.7,4,0.746,60.9,1
SYN-LRN-0116,4.9,5,0.935,43.4,1
SYN-LRN-0117,5.1,4,0.836,70.8,0
SYN-LRN-0118,6.3,9,0.708,60.1,0
SYN-LRN-0119,4.2,5,0.814,65.5,0
SYN-LRN-0120,8.6,5,0.938,79.4,1
SYN-LRN-0121,7.6,6,0.755,83.0,1
SYN-LRN-0122,3.3,3,0.748,63.1,0
SYN-LRN-0123,13.0,5,0.923,51.4,1
SYN-LRN-0124,5.5,8,0.85,70.1,1
SYN-LRN-0125,13.8,6,0.805,81.7,1
SYN-LRN-0126,9.9,4,0.9,65.5,1
SYN-LRN-0127,8.2,3,0.828,62.0,1
SYN-LRN-0128,9.5,5,0.883,72.8,1
SYN-LRN-0129,7.9,1,0.896,73.1,0
SYN-LRN-0130,7.2,6,0.927,75.6,1
SYN-LRN-0131,8.7,2,0.895,78.9,0
SYN-LRN-0132,13.0,6,0.785,72.6,1
SYN-LRN-0133,6.9,6,0.767,61.0,0
SYN-LRN-0134,7.5,6,0.861,68.9,0
SYN-LRN-0135,15.5,3,1.0,84.8,1
SYN-LRN-0136,7.6,2,0.849,58.8,0
SYN-LRN-0137,12.0,1,0.833,60.6,1
SYN-LRN-0138,8.1,8,0.868,54.5,0
SYN-LRN-0139,12.0,7,0.88,58.1,1
SYN-LRN-0140,9.8,0,0.73,72.2,0
SYN-LRN-0141,7.6,4,0.875,60.9,0
SYN-LRN-0142,3.4,5,0.933,60.0,0
SYN-LRN-0143,5.0,6,0.938,70.3,0
SYN-LRN-0144,3.7,5,0.72,54.5,0
SYN-LRN-0145,9.7,4,1.0,80.5,1
SYN-LRN-0146,4.2,5,0.757,43.5,0
SYN-LRN-0147,3.7,3,0.757,41.4,0
SYN-LRN-0148,12.2,1,0.826,82.9,0
SYN-LRN-0149,12.3,7,0.847,62.6,0
SYN-LRN-0150,4.8,7,1.0,57.7,0
SYN-LRN-0151,16.3,5,0.744,76.0,1
SYN-LRN-0152,11.6,5,0.712,71.0,1
SYN-LRN-0153,1.6,5,0.938,63.3,0
SYN-LRN-0154,8.2,3,0.8,54.9,1
SYN-LRN-0155,12.1,6,1.0,64.6,1
SYN-LRN-0156,7.4,7,0.786,70.2,1
SYN-LRN-0157,5.7,6,0.906,69.8,0
SYN-LRN-0158,14.7,6,0.882,68.1,1
SYN-LRN-0159,4.6,6,0.726,66.0,0
SYN-LRN-0160,14.0,4,0.781,57.5,1
SYN-LRN-0161,7.5,6,0.856,79.0,1
SYN-LRN-0162,7.3,3,0.957,78.9,1
SYN-LRN-0163,9.7,5,0.913,39.8,0
SYN-LRN-0164,6.3,5,0.77,52.9,0
SYN-LRN-0165,7.7,4,1.0,79.9,1
SYN-LRN-0166,6.2,4,1.0,84.1,0
SYN-LRN-0167,4.2,8,0.761,51.6,0
SYN-LRN-0168,10.0,4,0.759,63.6,0
SYN-LRN-0169,5.7,3,0.848,84.5,0
SYN-LRN-0170,9.6,7,0.768,65.7,1
SYN-LRN-0171,4.8,2,0.813,68.7,0
SYN-LRN-0172,7.1,4,0.837,65.4,1
SYN-LRN-0173,3.6,3,0.848,46.6,0
SYN-LRN-0174,9.5,6,1.0,77.3,1
SYN-LRN-0175,9.7,8,0.973,76.4,1
SYN-LRN-0176,12.1,7,0.94,66.6,1
SYN-LRN-0177,9.8,3,0.926,35.0,1
SYN-LRN-0178,9.6,5,0.957,76.4,1
SYN-LRN-0179,9.5,5,0.93,55.2,0
SYN-LRN-0180,7.4,8,0.931,59.3,1
SYN-LRN-0181,8.4,5,0.769,72.8,0
SYN-LRN-0182,8.5,4,0.831,64.5,0
SYN-LRN-0183,7.3,4,0.774,51.0,0
SYN-LRN-0184,10.1,2,0.924,52.1,1
SYN-LRN-0185,9.5,3,0.776,79.5,1
SYN-LRN-0186,1.4,6,0.853,87.0,1
SYN-LRN-0187,7.0,7,1.0,63.9,0
SYN-LRN-0188,7.3,8,0.998,90.4,1
SYN-LRN-0189,4.7,8,0.834,61.6,0
SYN-LRN-0190,3.0,6,0.86,66.7,0
SYN-LRN-0191,9.2,4,0.985,77.7,1
SYN-LRN-0192,4.7,7,0.857,56.5,0
SYN-LRN-0193,8.0,8,0.866,40.3,0
SYN-LRN-0194,5.5,4,0.883,75.2,0
SYN-LRN-0195,9.7,5,0.825,71.0,0
SYN-LRN-0196,6.2,6,0.865,72.9,0
SYN-LRN-0197,9.2,2,0.953,38.9,0
SYN-LRN-0198,11.3,3,0.938,84.1,1
SYN-LRN-0199,9.8,4,0.747,63.9,0
SYN-LRN-0200,12.8,6,0.768,60.5,1
SYN-LRN-0201,6.1,7,0.873,52.4,1
SYN-LRN-0202,5.1,8,1.0,75.3,0
SYN-LRN-0203,5.1,4,0.7,54.5,0
SYN-LRN-0204,13.0,5,0.718,68.2,1
SYN-LRN-0205,6.8,8,0.68,59.0,0
SYN-LRN-0206,9.5,8,0.734,66.1,1
SYN-LRN-0207,7.3,5,0.792,61.3,0
SYN-LRN-0208,4.1,5,0.777,74.9,0
SYN-LRN-0209,7.3,9,0.802,75.8,1
SYN-LRN-0210,7.0,3,0.822,87.5,1
SYN-LRN-0211,8.3,5,0.818,73.5,1
SYN-LRN-0212,9.4,5,0.796,82.5,1
SYN-LRN-0213,6.1,4,0.818,59.2,1
SYN-LRN-0214,6.2,4,0.742,55.4,0
SYN-LRN-0215,8.5,6,1.0,66.9,1
SYN-LRN-0216,7.3,3,0.846,71.4,1
SYN-LRN-0217,7.0,6,0.768,39.2,0
SYN-LRN-0218,10.5,5,0.869,60.8,1
SYN-LRN-0219,5.8,5,0.977,67.5,0
SYN-LRN-0220,8.7,3,0.95,50.0,0
SYN-LRN-0221,5.3,4,0.828,53.8,0
SYN-LRN-0222,9.0,2,0.69,61.5,0
SYN-LRN-0223,7.6,3,0.891,67.3,0
SYN-LRN-0224,3.2,7,1.0,83.5,0
SYN-LRN-0225,5.4,7,0.767,60.0,1
SYN-LRN-0226,6.7,5,0.673,51.4,0
SYN-LRN-0227,10.6,5,0.81,52.5,0
SYN-LRN-0228,6.7,7,0.819,59.2,0
SYN-LRN-0229,8.5,8,0.76,78.6,1
SYN-LRN-0230,3.4,6,0.833,35.0,0
SYN-LRN-0231,5.6,6,0.878,71.2,1
SYN-LRN-0232,8.1,6,0.945,71.5,0
SYN-LRN-0233,7.7,7,1.0,55.6,1
SYN-LRN-0234,5.0,4,0.88,68.0,1
SYN-LRN-0235,6.8,2,0.86,78.0,1
SYN-LRN-0236,11.9,5,0.848,79.0,1
SYN-LRN-0237,2.1,6,0.817,72.1,0
SYN-LRN-0238,10.0,4,0.642,68.0,1
SYN-LRN-0239,8.9,4,0.913,79.8,1
SYN-LRN-0240,7.8,8,0.77,67.6,0
SYN-LRN-0241,5.4,5,0.976,75.8,1
SYN-LRN-0242,3.2,8,0.879,69.3,1
SYN-LRN-0243,9.1,2,0.92,81.5,1
SYN-LRN-0244,8.0,3,0.913,84.0,1
SYN-LRN-0245,13.9,3,1.0,56.6,0
SYN-LRN-0246,10.4,8,0.992,63.9,1
SYN-LRN-0247,6.6,4,0.743,43.6,0
SYN-LRN-0248,14.1,8,0.943,66.7,1
SYN-LRN-0249,9.4,6,0.802,56.0,1
SYN-LRN-0250,5.7,9,0.719,83.3,0
SYN-LRN-0251,9.2,7,0.895,54.8,1
SYN-LRN-0252,9.4,5,0.842,62.3,0
SYN-LRN-0253,10.0,8,0.917,75.7,1
SYN-LRN-0254,1.7,3,0.721,73.1,0
SYN-LRN-0255,10.0,8,0.809,54.3,0
SYN-LRN-0256,11.6,2,0.892,54.5,0
SYN-LRN-0257,7.6,5,0.905,73.4,1
SYN-LRN-0258,10.0,5,0.882,73.1,1
SYN-LRN-0259,9.9,5,0.927,76.9,1
SYN-LRN-0260,4.4,6,0.964,52.8,1
SYN-LRN-0261,10.9,2,0.938,76.1,1
SYN-LRN-0262,2.6,3,0.963,64.6,0
SYN-LRN-0263,5.6,3,0.853,66.1,0
SYN-LRN-0264,2.0,4,0.93,73.4,0
SYN-LRN-0265,8.5,6,0.818,74.3,1
SYN-LRN-0266,13.9,9,0.894,61.0,1
SYN-LRN-0267,6.8,3,0.788,57.4,0
SYN-LRN-0268,10.5,1,0.947,51.8,1
SYN-LRN-0269,6.5,5,0.75,80.8,1
SYN-LRN-0270,8.7,5,0.762,41.9,0
SYN-LRN-0271,7.4,2,0.906,75.3,0
SYN-LRN-0272,11.0,3,0.719,66.0,0
SYN-LRN-0273,10.4,4,0.81,53.9,1
SYN-LRN-0274,9.0,8,0.997,64.6,0
SYN-LRN-0275,9.5,10,0.663,42.3,0
SYN-LRN-0276,5.6,4,0.865,97.5,0
SYN-LRN-0277,9.2,7,0.866,49.2,0
SYN-LRN-0278,3.7,7,0.806,74.1,0
SYN-LRN-0279,10.8,7,0.832,80.5,1
SYN-LRN-0280,7.5,6,0.96,78.9,1
SYN-LRN-0281,7.1,1,1.0,74.6,1
SYN-LRN-0282,6.6,2,0.848,49.9,0
SYN-LRN-0283,12.2,2,0.879,64.8,1
SYN-LRN-0284,8.8,6,0.885,56.7,0
SYN-LRN-0285,6.4,9,0.942,95.5,1
SYN-LRN-0286,5.9,3,0.81,68.1,0
SYN-LRN-0287,8.2,4,0.825,55.9,1
SYN-LRN-0288,9.2,6,0.828,67.2,0
SYN-LRN-0289,8.4,5,0.815,90.9,1
SYN-LRN-0290,8.9,4,0.953,70.3,1
SYN-LRN-0291,6.0,8,0.843,71.0,1
SYN-LRN-0292,2.6,5,0.835,65.1,1
SYN-LRN-0293,6.0,3,0.839,71.6,1
SYN-LRN-0294,8.0,5,0.986,75.1,0
SYN-LRN-0295,8.1,8,0.862,67.8,1
SYN-LRN-0296,7.2,3,1.0,74.6,1
SYN-LRN-0297,7.2,4,0.84,63.1,0
SYN-LRN-0298,6.9,7,0.897,96.7,1
SYN-LRN-0299,8.5,4,0.761,71.2,0
SYN-LRN-0300,9.5,3,0.866,57.1,0
SYN-LRN-0301,11.4,2,0.95,62.2,1
SYN-LRN-0302,0.5,3,0.816,41.3,0
SYN-LRN-0303,10.3,12,0.866,80.3,1
SYN-LRN-0304,7.5,8,0.789,69.3,1
SYN-LRN-0305,6.4,4,0.872,77.0,0
SYN-LRN-0306,13.4,4,0.915,69.8,1
SYN-LRN-0307,9.2,4,0.748,43.4,0
SYN-LRN-0308,5.2,5,0.854,56.7,0
SYN-LRN-0309,8.5,7,0.847,83.7,1
SYN-LRN-0310,10.4,5,0.723,71.2,1
SYN-LRN-0311,7.4,5,0.935,87.0,0
SYN-LRN-0312,9.1,6,0.959,56.0,0
SYN-LRN-0313,6.4,3,0.762,73.0,0
SYN-LRN-0314,6.9,2,0.938,46.0,0
SYN-LRN-0315,2.7,4,1.0,77.1,0
SYN-LRN-0316,2.3,4,0.928,60.8,1
SYN-LRN-0317,3.3,5,0.946,53.5,0
SYN-LRN-0318,12.1,4,0.856,50.1,1
SYN-LRN-0319,9.0,3,0.825,72.0,1
SYN-LRN-0320,6.7,7,0.884,68.9,1
